exp,phi_0,dV_ges,eps_0,h_dis_0,h_c_0,lambda,rho_c,rho_d,eta_c,etc_d,sigma,T,r_S_star,h_p_star,D_A,L_A
2mmol_30C,0.0005921618910312,1010.8834139158574,0.4010080216154169,0.0194460933333333,0.0960834018124411,0.9972374784055124,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0005939039764155,1008.3396176375406,0.3013749136207246,0.0188418924976769,0.0975758820313974,0.996305754015025,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0005836467279991,997.8167071197412,0.2993004752790806,0.0217729280822461,0.0966703513218062,0.996220479654085,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0005100275300475,1008.09180987055,0.3016880520601269,0.0173404130434782,0.0966356195913532,0.996785285240405,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0008050852352729,1497.0983443365697,0.5001769605944018,0.0234623749999999,0.0925458701718732,0.996422927481725,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0007672458443526,1498.859949352751,0.4999585709084858,0.0249653391198602,0.0923786486312712,0.996662276842165,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0007061775702968,1497.17051197411,0.4999023241630762,0.0264717894736842,0.0915881531073897,0.997079696448475,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006904907695254,1504.5517301779937,0.3999747016050964,0.0225364532271241,0.0949953651563401,0.9960920485682,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006687262180767,1502.456830420712,0.4003184726158255,0.020575773535145,0.0947937145401698,0.996474030924625,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006088622226469,1501.3290220064728,0.4001649752169859,0.0195516363636363,0.0938508113069608,0.99705042343191,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0005863860752068,1499.9206847896442,0.2999933443373162,0.0201404444444444,0.1061826062585562,0.99563458487877,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0005874358790448,1500.302083009709,0.3000899949880724,0.0162362857142857,0.1175720113955026,0.995366534154855,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.000521471974012,1500.3272006472496,0.3002948538790957,0.0166039026190476,0.1266663666666666,0.99604193303064,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0007343091392374,2000.66034012945,0.5001268477751134,0.0293205108977978,0.0896745587692625,0.9954325104448152,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006982405401018,2002.427888996764,0.5001117652735263,0.028438299574173,0.0896256687975899,0.99571477479556,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006866661264031,2012.6489729773464,0.500056696668559,0.0254825714285714,0.0891155785829571,0.99630123783228,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.000603176237173,1999.1543750809064,0.3998377051401653,0.0208286,0.0929496001112313,0.99515984456262,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.000603759822303,1998.7484207119744,0.3999369976097912,0.0243022499999999,0.0918683199735449,0.995315426395265,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0007242331073349,1011.6585430420712,0.504979028708319,0.0220872496118012,0.0942909468611774,0.99732675572559,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
5mmol_30C,0.0008117547063587,1501.9258126213592,0.5000818970195468,0.0285588127536231,0.0919156708572448,0.996591877794965,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007966390999504,1500.334628964401,0.5000198842824538,0.0279231363636363,0.0923053141210075,0.99680655449704,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007590087138789,1500.5494200647252,0.500010123654397,0.0248875106126482,0.0917711615279346,0.99714199399355,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007509614602845,1745.095887864078,0.4999985990981722,0.0273363758169934,0.0909490017233553,0.996544150620315,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007633226363208,1753.0507844660196,0.5000619873084838,0.0252499999999999,0.091166435262849,0.996449465875175,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007237065922161,1752.5926156148869,0.5000206913903865,0.0296995555555555,0.0902627329055107,0.9968811040416752,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007010741006407,1997.359583656958,0.4998143566402278,0.0284913065501563,0.0896844432683817,0.995889461064805,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007120618632726,2001.8471817152104,0.5000827034621824,0.0279600216234558,0.0899560891816812,0.995121066811345,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006993127990688,2002.0892852750808,0.4999276957788316,0.0274822312865497,0.0897255412945204,0.99537566241253,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000773049790394,1755.0430533980582,0.500060052266506,0.0268797424836935,0.0910264387762927,0.99541208294273,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007720102453184,1755.3808380258902,0.5000675002386243,0.0272854210526315,0.0909025755575749,0.995884471587835,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007286691457857,1748.3470315533982,0.5000059214245568,0.025060091794437,0.0907990869122648,0.996688160948745,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007755897557256,1481.648260194175,0.4998127210796813,0.0250004545454545,0.0918681504117716,0.99662434269545,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007639245403101,1499.6948090614892,0.5000327275873587,0.0245854941783807,0.0919872441642052,0.99689771250645,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000726548162323,1455.6305834951456,0.4969214841976195,0.0251155714285714,0.0917116640878242,0.99718670071854,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007222288630549,999.6381778317152,0.4998800844015436,0.016913990864178,0.094883205542317,0.996081839904685,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000712445421405,999.6446792880256,0.4999135834534953,0.0187606897606439,0.094884389901383,0.997047787475995,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007124508366655,1001.9084367313916,0.5000228962922861,0.0225383564022732,0.094996779046925,0.99735047717048,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007342130950554,999.5281449838188,0.4996571252052157,0.0218723146859903,0.0944416993400332,0.9974264299477,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007456415471687,998.9341648867317,0.499917070858734,0.0204209737247824,0.0942047449115265,0.9973558898372376,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007536151612868,1000.183129449838,0.5000152268152747,0.0181115674909547,0.0952395080300897,0.99718886461357,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000665051264792,993.5760686084144,0.399215879202942,0.0172163435953432,0.0956980763169137,0.996876965569305,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006337210994304,996.2387881877024,0.3990668618965361,0.0187899336804692,0.0962787139480833,0.9968752688018,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000618759226943,996.5608033980584,0.3998983127345418,0.0220250928422431,0.095364194522213,0.99719761947756,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006201287655989,991.6847318770228,0.399288211823106,0.0212802082564898,0.0954412654831947,0.99719432460975,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006511336479399,994.057367475728,0.3995075648891827,0.0210742038826126,0.0954457996767075,0.996994143352695,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006668875237923,981.9675893203884,0.3987742418212348,0.0230661897934173,0.0951029747052987,0.9964121989654,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000578923014204,998.3289378640776,0.2996385913823614,0.0189740153278122,0.0978638372823891,0.9958885228014,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005684442129561,1000.0322270226536,0.2999615892962858,0.0194626022035726,0.0973140920591429,0.99588804673216,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005518388452312,1017.0045302589,0.304068313653216,0.0205647467445054,0.0973070751836161,0.99622264817414,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000527850926748,1005.8808257281552,0.3008928192217805,0.0199415809500805,0.0973348729332089,0.996099531550315,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005450924591507,988.7087166666668,0.2974220127715177,0.0221268397693367,0.095757469405271,0.995258298086465,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005584195898134,995.9549927184466,0.2993429477383637,0.0213423668233673,0.0957677839520416,0.99497245643305,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0008166276771361,1492.737847734628,0.5002581373233586,0.0293597828103573,0.0924751981811414,0.9953377316575,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0008248053106537,1503.4189873786406,0.5001858692476343,0.0285188039473684,0.0920610760776986,0.9956380682934324,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000760009774362,1496.9949711974111,0.5000463688624589,0.0279079827075098,0.0921534987853743,0.996735592121795,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000743564696631,1505.5645559870547,0.500495950648339,0.0266735,0.0912814435627857,0.997083180633975,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007922469946381,1501.1022676375403,0.5000376417189348,0.0274689190680406,0.091722808605907,0.9971371972259552,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0008597511257575,1494.6736364077672,0.500000991222702,0.0278488103063729,0.0919344198482377,0.99697522545877,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000702357924,1507.2662773462782,0.4007760222096735,0.023096966017316,0.0952465307791789,0.995361075392015,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006739969661045,1497.847150161812,0.399699581681616,0.0257901176470588,0.0948400912507254,0.995858208229205,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006124749503582,1494.3701988673138,0.3997082354001131,0.0266947476190476,0.0945961238813769,0.996836106865115,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005941139520853,1495.0960842233012,0.3995810259957853,0.0162762,0.094314624340542,0.99700929400959,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006146643982478,1502.4972682847897,0.4001733698430174,0.0223725588235294,0.0947770954033861,0.996918178858745,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006616289586953,1504.5464084142395,0.4007476975137385,0.022298870215311,0.0948525038211058,0.99641502023065,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005981329939533,1499.6873250809062,0.3001388543249567,0.0204605020733896,0.1058156222391651,0.995003088590295,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005815989489723,1499.466933171521,0.3005041270697411,0.0334353405797101,0.1149419132183908,0.9950183813896252,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005261693762876,1500.0874121359227,0.3000712513350623,0.0143961999999999,0.1291531089351852,0.995254157147415,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005049848548448,1499.7408289644015,0.3000416437648256,0.0240237142857143,0.1352097211904762,0.99556296174162,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005113940611184,1499.810570388349,0.3000029898914364,0.0203558759259259,0.1418719722222222,0.99528549724182,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005366945668087,1499.8421079288028,0.300058331426731,0.0244046811403508,0.1489718154166666,0.995027041286435,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007174961282571,2009.693962783172,0.5005046788984902,0.0281631045249074,0.0885460121035764,0.99512501812437,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007068466092686,2002.7472496763755,0.5001148254173846,0.0301751709956709,0.0896430990523801,0.99515193823655,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006939171152015,2000.3862410194167,0.4999614186998627,0.0339034977375565,0.0891055026027846,0.9957305376515976,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006811718052369,1999.619482200648,0.4999888168292414,0.0301781104573627,0.088787928779962,0.9963968562158,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.000678728019379,2005.000489482201,0.4998390592137405,0.0286877269345238,0.0886173953280062,0.99659319346041,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0007195012174206,2002.904056472492,0.5001287124685687,0.0284052637942896,0.0898078039750305,0.996352811486055,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006157588009069,1999.9767121359223,0.4000157932192502,0.0325790625,0.0930523826118326,0.9950587624829,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0006038981533105,1999.767779449838,0.4001133519911671,0.0274064285714285,0.0909734944594757,0.99509255661557,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005728423104538,2000.406158576052,0.4000226752200096,0.0331929333333333,0.0893420750756188,0.99545406275298,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005555687172893,1999.5583969255665,0.3999507219445986,0.0305166904761904,0.089309071276455,0.99639770352038,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
5mmol_30C,0.0005621593437695,1999.149445307444,0.3999120622415775,0.0335947999999999,0.0887784420891726,0.996517043040455,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0407,0.02525,0.2,1.3
10mmol_21C,0.0005440872225866,741.13801618123,0.2984620911048791,0.0367717875821294,0.0912289828454878,0.987976000122905,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004583603283986,755.301383171521,0.3022250649761572,0.0438515833333333,0.0927069826534576,0.98623582737495,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003023076274532,739.6016637540453,0.2968349745331371,0.0359840504690711,0.099475516040626,0.984706579200455,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0002046213415225,743.1017009708738,0.2970189337498062,0.036558696579767,0.096633421772348,0.9875088840063,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0005219371282862,747.956947249191,0.4003607098580101,0.0326036959641665,0.0895013968278943,0.986685247529235,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004492766548342,749.9740259708739,0.3997649188665625,0.0323960715867465,0.0950012538648851,0.9865326317251224,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0002854639954735,741.2064012944985,0.3990492434544099,0.0306833576758558,0.1060141961937599,0.988840394478615,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0002419408212963,750.2078220064725,0.4000233873841091,0.0298945461769795,0.1067902848870117,0.991715267468385,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0006572570562149,748.3678846278316,0.5033393948738957,0.0251489775503957,0.0926605819372294,0.991089184000835,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.000528083822081,758.1221101941748,0.5003588750515224,0.0360524215926443,0.0993960298027311,0.990594495026855,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003591505499462,742.2261453074431,0.4984043844543479,0.0340009276556776,0.1086002434804079,0.991422648303335,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003112803927799,749.9297278317154,0.4998810103013865,0.032927251173913,0.1077239627466643,0.9926867192819476,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004784168893922,1001.5883724919096,0.3005303259366007,0.0361702027981144,0.1032385962279659,0.98986619881514,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004995601894158,999.2889087378642,0.2997759602836842,0.0346288446372961,0.102442293110324,0.98873874537083,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003212682292866,1004.3249354368932,0.3011834807187142,0.0309896669467787,0.1092973916720384,0.98686360175164,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0002702057278513,1000.556020711974,0.2998265897260206,0.0325945561950111,0.1073269582859635,0.98819534440021,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004966120375372,1010.3389292880258,0.4011250933810716,0.0379169008805659,0.1005753935331335,0.987470953559605,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0005381989627644,992.5987236245954,0.4001307685218748,0.0383755500214528,0.1000126402384421,0.98553341557815,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003548047101018,1005.6671406148866,0.399870461776625,0.0346753894151303,0.1107346522868567,0.989342053056935,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0003049797877975,998.632776537217,0.3998395136156908,0.0349507763888888,0.1096418063465007,0.9916290576190552,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0005716143696077,1012.474803236246,0.4998021303221964,0.0373105142196067,0.1003843423818311,0.99024710107406,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0006178757628905,988.0668846278318,0.5000282054412915,0.0380948110894506,0.0995159044639388,0.9904791018864452,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
10mmol_21C,0.0004341091151554,985.6111681229772,0.4978419005153308,0.0370691407407407,0.1100140092592592,0.991553294159525,1002.7,832.5,0.00102,0.008737,0.00822,21,0.0091,0.2655,0.2,1.3
